sg_uf_not,ano_mes,casos
AC,2024-04,1
AL,2022-10,5
AL,2022-12,2
AL,2023-01,2
AL,2023-02,1
AL,2023-03,1
AL,2024-05,1
AL,2024-09,2
AL,2025-02,1
AM,2022-09,62
AM,2022-10,47
AM,2022-11,9
AM,2022-12,17
AM,2023-01,9
AM,2023-02,2
AM,2023-07,1
AM,2023-08,1
AM,2023-12,1
AM,2024-01,1
AM,2024-02,1
AM,2024-08,1
AM,2024-09,22
AM,2024-10,20
AM,2024-11,17
AM,2024-12,23
AM,2025-01,15
AM,2025-02,3
AM,2025-03,6
AM,2025-04,10
AP,2022-10,1
BA,2022-09,6
BA,2022-10,7
BA,2022-11,2
BA,2022-12,11
BA,2023-01,5
BA,2023-02,2
BA,2023-03,2
BA,2023-04,2
BA,2023-05,2
BA,2023-07,6
BA,2023-08,5
BA,2023-09,3
BA,2023-10,2
BA,2023-11,7
BA,2024-01,9
BA,2024-02,10
BA,2024-03,9
BA,2024-04,7
BA,2024-08,5
BA,2024-09,13
BA,2024-10,10
BA,2024-11,2
BA,2024-12,5
BA,2025-01,5
BA,2025-02,6
BA,2025-03,4
BA,2025-04,1
BR,2023-08,1
BR,2024-01,1
CE,2022-09,57
CE,2022-10,48
CE,2022-11,8
CE,2022-12,14
CE,2023-01,4
CE,2023-02,2
CE,2023-05,3
CE,2023-06,1
CE,2023-07,1
CE,2023-09,1
CE,2024-02,5
CE,2024-03,2
CE,2024-04,4
CE,2024-05,2
CE,2024-08,2
CE,2024-09,7
CE,2024-11,5
CE,2024-12,1
CE,2025-01,2
CE,2025-04,1
DF,2022-08,2
DF,2022-09,17
DF,2022-10,15
DF,2022-11,2
DF,2022-12,3
DF,2023-01,5
DF,2023-02,2
DF,2023-03,1
DF,2023-07,1
DF,2023-08,2
DF,2023-10,1
DF,2023-11,9
DF,2023-12,5
DF,2024-01,3
DF,2024-02,10
DF,2024-03,3
DF,2024-04,1
DF,2024-06,2
DF,2024-08,3
DF,2024-09,13
DF,2024-10,13
DF,2024-11,12
DF,2024-12,2
DF,2025-01,4
DF,2025-02,5
DF,2025-03,5
DF,2025-04,2
ES,2022-09,8
ES,2023-01,3
ES,2023-02,1
ES,2023-04,1
ES,2023-05,1
ES,2023-07,5
ES,2023-08,7
ES,2023-11,2
ES,2024-02,4
ES,2024-07,3
ES,2024-08,3
ES,2024-11,1
GO,2022-08,1
GO,2022-09,41
GO,2022-10,20
GO,2022-11,1
GO,2022-12,7
GO,2023-01,1
GO,2023-03,1
GO,2023-08,4
GO,2023-09,15
GO,2023-10,46
GO,2023-11,23
GO,2023-12,14
GO,2024-01,9
GO,2024-02,4
GO,2024-04,1
GO,2024-08,2
GO,2024-09,2
GO,2024-10,7
GO,2024-11,4
GO,2024-12,8
GO,2025-01,5
GO,2025-02,2
GO,2025-03,1
GO,2025-04,2
MA,2022-09,5
MA,2022-10,23
MA,2022-11,3
MA,2022-12,14
MA,2023-01,6
MA,2023-02,5
MA,2023-03,3
MA,2023-04,3
MA,2023-05,2
MA,2023-09,1
MA,2024-08,1
MA,2024-10,1
MG,2022-07,1
MG,2022-08,1
MG,2022-09,53
MG,2022-10,27
MG,2022-11,3
MG,2022-12,11
MG,2023-01,6
MG,2023-02,2
MG,2023-03,2
MG,2023-04,2
MG,2023-05,2
MG,2023-06,1
MG,2023-07,1
MG,2023-08,1
MG,2023-09,7
MG,2023-10,8
MG,2023-11,19
MG,2023-12,10
MG,2024-01,21
MG,2024-02,6
MG,2024-03,4
MG,2024-04,4
MG,2024-05,11
MG,2024-06,3
MG,2024-07,1
MG,2024-08,3
MG,2024-09,9
MG,2024-10,10
MG,2024-11,7
MG,2024-12,1
MG,2025-01,4
MG,2025-02,2
MG,2025-03,3
MG,2025-04,2
MS,2022-09,21
MS,2022-10,4
MS,2022-11,1
MS,2022-12,2
MS,2023-01,1
MS,2024-01,1
MS,2024-02,6
MS,2024-03,1
MS,2024-06,1
MS,2024-08,2
MS,2024-09,2
MS,2024-12,2
MS,2025-01,5
MS,2025-02,3
MT,2022-09,20
MT,2022-10,21
MT,2022-12,1
MT,2023-09,1
MT,2023-11,2
MT,2024-08,2
MT,2024-09,2
MT,2024-10,8
MT,2024-11,7
MT,2024-12,1
MT,2025-03,3
PA,2022-09,9
PA,2022-10,18
PA,2022-11,6
PA,2022-12,15
PA,2023-01,7
PA,2023-02,3
PA,2023-03,1
PA,2023-04,3
PA,2023-05,7
PA,2023-06,1
PA,2023-08,3
PA,2023-09,2
PA,2023-12,1
PA,2024-01,2
PA,2024-07,1
PA,2024-09,3
PA,2024-10,13
PA,2024-11,19
PA,2024-12,23
PA,2025-01,15
PA,2025-02,3
PA,2025-03,7
PB,2022-09,4
